0,Energy [keV],Photon flux at 1 m [1/cm2/keV/s] (normalized)
688,78.8,0.0051267410677394085
689,78.9,0.005102921344884729
690,79.0,0.005079196177367582
691,79.1,0.005055557342984702
692,79.2,0.005032008952837721
693,79.3,0.0050085551180282725
694,79.4,0.004985187616353092
695,79.5,0.004961914670015443
696,79.6,0.00493872394571043
697,79.7,0.004915627776742948
698,79.8,0.004892617940909734
699,79.9,0.004869694438210789
700,80.0,0.004848736042091846
701,80.1,0.004824936874745325
702,80.2,0.004801232262736337
703,80.3,0.004777622206064879
704,80.4,0.00475409848252769
705,80.5,0.0047306652032264
706,80.6,0.004707326479262642
707,80.7,0.004684074088433152
708,80.8,0.00466090803073793
709,80.9,0.004637836528380239
710,81.0,0.004614847248055184
711,81.1,0.004592215633572097
712,81.2,0.004569666241121645
713,81.3,0.00454719907070383
714,81.4,0.004524818233420282
715,81.5,0.0045025237292710026
716,81.6,0.0044803073360527275
717,81.7,0.00445817727596872
718,81.8,0.004436129437917349
719,81.9,0.004414159710796982
720,82.0,0.004394118090341932
721,82.1,0.0043709766992565
722,82.2,0.004347921641305336
723,82.3,0.0043249570275900725
724,82.4,0.004302082858110709
725,82.5,0.004279290910663981
726,82.6,0.004256589407453152
727,82.7,0.00423397012627496
728,82.8,0.004211441289332667
729,82.9,0.004188994674423011
730,83.0,0.0041666343926476225
731,83.1,0.004144134333416752
732,83.2,0.0041217206073201505
733,83.3,0.004099393214357817
734,83.4,0.004077151332309424
735,83.5,0.004054994961174973
736,83.6,0.004032923278734137
737,83.7,0.004010935873876754
738,83.8,0.003989032746602822
739,83.9,0.003967213074692016
740,84.0,0.00394728574286233
741,84.1,0.0039246512506081
742,84.2,0.003902103091488138
743,84.3,0.0038796404432821178
744,84.4,0.0038572633059900385
745,84.5,0.003834970857391575
746,84.6,0.0038127630974867264
747,84.7,0.003790639204055167
748,84.8,0.003768599177096896
749,84.9,0.003746642605501751
750,85.0,0.0037247686670494047
751,85.1,0.0037030081950020968
752,85.2,0.0036813291227670982
753,85.3,0.00365973145034441
754,85.4,0.003638214766623868
755,85.5,0.0036167786604953092
756,85.6,0.003595423131958734
757,85.7,0.0035741469476836523
758,85.8,0.003552950518780228
759,85.9,0.003531833434138297
760,86.0,0.0035125877229591645
761,86.1,0.0034903803741644793
762,86.2,0.0034682568918430827
763,86.3,0.0034462160426644854
764,86.4,0.0034242582377388506
765,86.5,0.0034023826548458523
766,86.6,0.0033805888828753266
767,86.7,0.0033588765107171103
768,86.8,0.0033372455383712044
769,86.9,0.0033156951436172813
770,87.0,0.0032942249153451787
771,87.1,0.003272783875894662
772,87.2,0.0032514230029259653
773,87.3,0.003230141885328926
774,87.4,0.003208940523103543
775,87.5,0.0031878185051396543
776,87.6,0.003166775009216933
777,87.7,0.0031458100353353793
778,87.8,0.00312492317238483
779,87.9,0.0031041135981449584
780,88.0,0.0030851712862662527
781,88.1,0.003063002581826906
782,88.2,0.003040918566081175
783,88.3,0.003018918827918896
784,88.4,0.0029970025451197427
785,88.5,0.002975170128793878
786,88.6,0.0029534207567209754
787,88.7,0.0029317540177908725
788,88.8,0.002910169500893406
789,88.9,0.0028886667949184117
790,89.0,0.002867245899865891
791,89.1,0.002846025215462839
792,89.2,0.0028248838753212806
793,89.3,0.002803820646110727
794,89.4,0.00278283593894134
795,89.5,0.002761928931592795
796,89.6,0.0027410996240650907
797,89.7,0.002720347194137901
798,89.8,0.0026996716418112264
799,89.9,0.00267907214486474
800,90.0,0.002660350188033499
801,90.1,0.0026382328723645507
802,90.2,0.002616199834279054
803,90.3,0.0025942506626668456
804,90.4,0.0025723845353076004
805,90.5,0.002550601452201317
806,90.6,0.0025289005911276704
807,90.7,0.002507282363196823
808,90.8,0.0024857455350782843
809,90.9,0.0024642896956618933
810,91.0,0.002442915256057812
811,91.1,0.002421745138204831
812,91.2,0.0024006531312828544
813,91.3,0.002379638413071556
814,91.4,0.0023587018057912613
815,91.5,0.002337841665001319
816,91.6,0.0023170588129220538
817,91.7,0.0022963516051128148
818,91.8,0.0022757208637939263
819,91.9,0.0022551657667450637
820,92.0,0.002236514109751726
821,92.1,0.00221421220561951
822,92.2,0.002191994990180908
823,92.3,0.0021698624634359214
824,92.4,0.002147814214274387
825,92.5,0.0021258494204759782
826,92.6,0.0021039680820406953
827,92.7,0.0020821697878583745
828,92.8,0.002060454126818853
829,92.9,0.0020388202767018045
830,93.0,0.002017268648617392
831,93.1,0.0019958173314127956
832,93.2,0.001974446591800183
833,93.3,0.0019531564297795533
834,93.4,0.001931946434240744
835,93.5,0.0019108157829634284
836,93.6,0.0018897644759476066
837,93.7,0.0018687921020831156
838,93.8,0.0018478986613699553
839,93.9,0.001827082920477636
840,94.0,0.0018083552081041105
841,94.1,0.0017843085524393556
842,94.2,0.0017603511076800108
843,94.3,0.001736482462715913
844,94.4,0.0017127026175470623
845,94.5,0.0016890111610632953
846,94.6,0.0016654072710442858
847,94.7,0.0016418905363798704
848,94.8,0.0016184609570700495
849,94.9,0.0015951177108944963
850,95.0,0.001571860797853211
851,95.1,0.0015486215625489428
852,95.2,0.0015254694825992685
853,95.3,0.0015024049691143519
854,95.4,0.001479426788763703
855,95.5,0.001456534941547322
856,95.6,0.0014337294274652092
857,95.7,0.0014110090131868745
858,95.8,0.0013883741098224816
859,95.9,0.0013658234840415403
860,96.0,0.001345296342483774
861,96.1,0.0013219814629094803
862,96.2,0.0012987545609101073
863,96.3,0.0012756164587059812
864,96.4,0.0012525655118564496
865,96.5,0.0012296025425818384
866,96.6,0.0012067263175516583
867,96.7,0.0011839364256557463
868,96.8,0.0011612332780042652
869,96.9,0.0011386156412667259
870,97.0,0.001116083515443128
871,97.1,0.0010936480005078772
872,97.2,0.001071296763156079
873,97.3,0.001049029392277569
