,photon energy in keV,photon flux in 1/cm2/s/keV/mA at 1 m
743,84.3,943698.5
744,84.4,938255.4
745,84.5,932832.9
746,84.6,927431.0
747,84.7,922049.5
748,84.8,916688.4
749,84.9,911347.6
750,85.0,906026.9
751,85.1,900733.8
752,85.2,895460.5
753,85.3,890207.0
754,85.4,884973.2
755,85.5,879759.0
756,85.6,874564.4
757,85.7,869389.1
758,85.8,864233.2
759,85.9,859096.6
760,86.0,854415.2
761,86.1,849013.4
762,86.2,843632.0
763,86.3,838270.7
764,86.4,832929.6
765,86.5,827608.5
766,86.6,822307.3
767,86.7,817025.9
768,86.8,811764.3
769,86.9,806522.3
770,87.0,801299.8
771,87.1,796084.4
772,87.2,790888.5
773,87.3,785712.0
774,87.4,780554.9
775,87.5,775417.1
776,87.6,770298.4
777,87.7,765198.8
778,87.8,760118.2
779,87.9,755056.4
780,88.0,750448.8
781,88.1,745056.4
782,88.2,739684.6
783,88.3,734333.3
784,88.4,729002.3
785,88.5,723691.7
786,88.6,718401.3
787,88.7,713131.0
788,88.8,707880.7
789,88.9,702650.3
790,89.0,697439.8
791,89.1,692278.0
792,89.2,687135.5
793,89.3,682012.0
794,89.4,676907.6
795,89.5,671822.1
796,89.6,666755.5
797,89.7,661707.6
798,89.8,656678.4
799,89.9,651667.7
800,90.0,647113.7
801,90.1,641733.8
802,90.2,636374.4
803,90.3,631035.4
804,90.4,625716.6
805,90.5,620418.0
806,90.6,615139.4
807,90.7,609880.9
808,90.8,604642.2
809,90.9,599423.2
810,91.0,594224.0
811,91.1,589074.5
812,91.2,583944.0
813,91.3,578832.3
814,91.4,573739.6
815,91.5,568665.5
816,91.6,563610.2
817,91.7,558573.3
818,91.8,553555.0
819,91.9,548555.1
820,92.0,544018.2
821,92.1,538593.4
822,92.2,533189.2
823,92.3,527805.6
824,92.4,522442.5
825,92.5,517099.7
826,92.6,511777.2
827,92.7,506474.9
828,92.8,501192.7
829,92.9,495930.4
830,93.0,490688.1
831,93.1,485470.2
832,93.2,480271.9
833,93.3,475093.2
834,93.4,469934.0
835,93.5,464794.1
836,93.6,459673.5
837,93.7,454572.1
838,93.8,449489.9
839,93.9,444426.6
840,94.0,439871.2
841,94.1,434022.0
842,94.2,428194.5
843,94.3,422388.6
844,94.4,416604.3
845,94.5,410841.5
846,94.6,405100.0
847,94.7,399379.7
848,94.8,393680.6
849,94.9,388002.5
850,95.0,382345.4
851,95.1,376692.6
852,95.2,371061.0
853,95.3,365450.7
854,95.4,359861.4
855,95.5,354293.1
856,95.6,348745.8
857,95.7,343219.2
858,95.8,337713.4
859,95.9,332228.1
860,96.0,327235.0
861,96.1,321563.8
862,96.2,315914.0
863,96.3,310285.8
864,96.4,304678.8
865,96.5,299093.2
866,96.6,293528.7
867,96.7,287985.2
868,96.8,282462.8
869,96.9,276961.2
870,97.0,271480.4
871,97.1,266023.1
872,97.2,260586.3
873,97.3,255169.9
874,97.4,249773.8
875,97.5,244398.0
876,97.6,239042.2
877,97.7,233706.6
878,97.8,228390.8
879,97.9,223095.0
880,98.0,218791.6
881,98.1,207447.6
882,98.2,196147.3
883,98.3,184890.5
884,98.4,173677.0
885,98.5,162506.7
886,98.6,151379.3
887,98.7,140294.7
888,98.8,129252.7
889,98.9,118253.0
890,99.0,107295.6
891,99.1,96386.32
892,99.2,85517.49
893,99.3,74688.88
894,99.4,63900.31
895,99.5,53151.61
896,99.6,42442.6
897,99.7,31773.11
898,99.8,21142.96
899,99.9,10551.98
900,100.0,0.0
